,math score,reading score,writing score,gender_female,gender_male,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none
91,27,34,36,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
92,71,79,71,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
93,43,45,50,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
94,79,86,92,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
95,78,81,82,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
96,65,66,62,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
97,63,72,70,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
98,58,67,62,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
99,65,67,62,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
100,79,67,67,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
101,68,74,74,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
102,85,91,89,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
103,60,44,47,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
104,98,86,90,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
105,58,67,72,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
106,87,100,100,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
107,66,63,64,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
108,52,76,70,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
109,70,64,72,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
110,77,89,98,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
111,62,55,49,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
112,54,53,47,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
113,51,58,54,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
114,99,100,100,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
115,84,77,74,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
116,75,85,82,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
117,78,82,79,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
118,51,63,61,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
119,55,69,65,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
120,79,92,89,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
121,91,89,92,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
122,88,93,93,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
123,63,57,56,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
124,83,80,73,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
125,87,95,86,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
126,72,68,67,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
127,65,77,74,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
128,82,82,74,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
129,51,49,51,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True
130,89,84,82,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
131,53,37,40,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
132,87,74,70,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
133,75,81,84,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
134,74,79,75,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
135,58,55,48,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
136,51,54,41,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
137,70,55,56,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
138,59,66,67,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
139,71,61,69,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
140,76,72,71,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
141,59,62,64,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
142,42,55,54,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
143,57,43,47,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True
144,88,73,78,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
145,22,39,33,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
146,88,84,75,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
147,73,68,66,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
148,68,75,81,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
149,100,100,93,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
150,62,67,69,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
151,77,67,68,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True
152,59,70,66,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
153,54,49,47,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
154,62,67,61,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
155,70,89,88,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
156,66,74,78,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
157,60,60,60,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
158,61,86,87,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
159,66,62,64,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
160,82,78,74,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
161,75,88,85,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
162,49,53,52,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
163,52,53,49,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
164,81,92,91,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
165,96,100,100,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
166,53,51,51,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
167,58,76,78,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
168,68,83,78,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
169,67,75,70,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
170,72,73,74,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
171,94,88,78,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
172,79,86,81,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
173,63,67,70,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
174,43,51,54,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
175,81,91,87,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
176,46,54,58,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
177,71,77,77,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
178,52,70,62,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
179,97,100,100,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
180,62,68,75,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
181,46,64,66,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
182,50,50,47,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
183,65,69,70,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
184,45,52,49,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
185,65,67,65,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
186,80,76,65,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
187,62,66,68,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
188,48,52,45,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True
189,77,88,87,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
190,66,65,69,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
191,76,83,79,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
192,62,64,66,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
193,77,62,62,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
194,69,84,85,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
195,61,55,52,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
196,59,69,65,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
197,55,56,51,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
198,45,53,55,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
199,78,79,76,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
200,67,84,86,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
201,65,81,77,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
202,69,77,69,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
203,57,69,68,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
204,59,41,42,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
205,74,71,78,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
206,82,62,62,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
207,81,80,76,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
208,74,81,76,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
209,58,61,66,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
210,80,79,79,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
211,35,28,27,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
212,42,62,60,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
213,60,51,56,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
214,87,91,81,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
215,84,83,75,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
216,83,86,88,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
217,34,42,39,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
218,66,77,70,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
219,61,56,56,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
220,56,68,74,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False
221,87,85,73,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
222,55,65,62,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
223,86,80,75,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
224,52,66,73,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
225,45,56,54,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
226,72,72,71,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
227,57,50,54,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
228,68,72,64,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
229,88,95,94,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
230,76,64,66,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
231,46,43,42,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
232,67,86,83,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
233,92,87,78,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
234,83,82,84,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
235,80,75,77,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
236,63,66,67,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
237,64,60,74,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
238,54,52,51,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
239,84,80,80,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
240,73,68,66,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
241,80,83,83,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
242,56,52,55,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
243,59,51,43,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
244,75,74,69,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
245,85,76,71,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
246,89,76,74,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
247,58,70,68,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
248,65,64,62,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
249,68,60,53,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
250,47,49,49,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
251,71,83,83,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
252,60,70,70,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
253,80,80,72,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
254,54,52,52,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
255,62,73,70,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
256,64,73,68,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
257,78,77,77,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
258,70,75,78,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
259,65,81,81,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
260,64,79,77,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
261,79,79,78,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
262,44,50,51,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
263,99,93,90,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
264,76,73,68,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
265,59,42,41,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
266,63,75,81,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
267,69,72,77,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
268,88,92,95,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False
269,71,76,70,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
270,69,63,61,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
271,58,49,42,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
272,47,53,58,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
273,65,70,71,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
274,88,85,76,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
275,83,78,73,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
276,85,92,93,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
277,59,63,75,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
278,65,86,80,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
279,73,56,57,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
280,53,52,42,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
281,45,48,46,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
282,73,79,84,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
283,70,78,78,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
284,37,46,46,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
285,81,82,82,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
286,97,82,88,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
287,67,89,82,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
288,88,75,76,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
289,77,76,77,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False
290,76,70,68,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
291,86,73,70,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
292,63,60,57,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
293,65,73,75,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
294,78,77,80,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
295,67,62,60,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
296,46,41,43,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
297,71,74,68,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
298,40,46,50,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
299,90,87,75,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
300,81,78,81,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
301,56,54,52,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
302,67,84,81,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
303,80,76,64,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
304,74,75,83,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
305,69,67,69,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
306,99,87,81,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
307,51,52,44,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
308,53,71,67,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
309,49,57,52,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
310,73,76,80,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
311,66,60,57,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
312,67,61,68,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
313,68,67,69,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
314,59,64,75,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
315,71,66,65,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
316,77,82,91,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
317,83,72,78,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
318,63,71,69,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
319,56,65,63,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
320,67,79,84,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
321,75,86,79,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
322,71,81,80,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
323,43,53,53,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
