,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,income
135,40,Self-emp-inc,11.616050483765866,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,50,<=50K
136,68,?,12.457881396058148,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,35,>50K
137,21,Private,12.842469564238932,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,<=50K
138,35,Private,12.17005160795096,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
139,70,Self-emp-inc,12.245000046440856,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
140,61,Self-emp-not-inc,10.509768800074411,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,<=50K
141,65,Self-emp-inc,11.307302527374008,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,65,<=50K
142,46,Private,12.278188635003103,5th-6th,3,Divorced,Craft-repair,Not-in-family,White,Female,45,<=50K
143,26,Local-gov,12.021524611975327,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,55,<=50K
144,59,Local-gov,11.902992630898297,HS-grad,9,Widowed,Farming-fishing,Unmarried,White,Male,40,<=50K
145,61,Private,10.681779786252992,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,<=50K
146,60,State-gov,12.79078235924728,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,40,<=50K
147,49,Self-emp-inc,11.856933521555133,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,50,<=50K
148,34,Private,10.13946835265183,Bachelors,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,40,<=50K
149,25,Private,11.252495328870001,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,35,<=50K
150,55,Private,11.974789809927513,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,45,<=50K
151,59,Local-gov,12.051340963620556,HS-grad,9,Separated,Protective-serv,Other-relative,Black,Female,40,<=50K
152,28,State-gov,12.85262599820736,Some-college,10,Separated,Exec-managerial,Own-child,White,Male,40,<=50K
153,43,?,11.935378786107249,Assoc-voc,11,Widowed,?,Not-in-family,White,Female,36,<=50K
154,56,Self-emp-not-inc,12.756030516998031,Masters,14,Divorced,Sales,Unmarried,White,Female,60,<=50K
155,41,Private,11.996221606032238,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,40,<=50K
156,42,Private,12.164031157730161,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Female,40,<=50K
157,28,Private,12.436811281032819,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,40,<=50K
158,40,Self-emp-not-inc,10.413642951751815,Prof-school,15,Divorced,Other-service,Not-in-family,White,Female,35,<=50K
159,69,Private,12.341136613161442,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,40,>50K
160,66,Local-gov,10.501362052588641,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
161,69,Private,11.735516863876349,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K
162,55,Local-gov,12.078506283824543,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,<=50K
163,57,Federal-gov,12.823663497882654,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,40,<=50K
164,20,Self-emp-not-inc,11.964930588513289,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,10,<=50K
165,33,Private,12.573579709649389,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,84,<=50K
166,30,Self-emp-not-inc,12.457982452093805,Some-college,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,40,<=50K
167,40,Private,12.57066020201926,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,48,<=50K
168,38,Private,11.532522188716786,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,55,>50K
169,46,State-gov,12.16930492133796,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Male,38,>50K
170,29,Private,11.815227640964054,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,45,>50K
171,57,Federal-gov,12.201637826240061,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,<=50K
172,39,Private,11.963351191667286,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,42,>50K
173,47,Private,11.835791266756491,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,40,>50K
174,26,Private,12.541951849199243,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,45,>50K
175,27,Self-emp-not-inc,12.24806835098219,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,50,<=50K
176,23,Private,11.541930715972299,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,40,>50K
177,34,Private,10.50193936425675,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,50,<=50K
178,33,Private,12.079295534162902,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,42,<=50K
179,38,Local-gov,11.99913457325039,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,60,<=50K
180,57,Private,11.706541333558677,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,38,>50K
181,36,Private,11.89090974368838,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,70,<=50K
182,44,Federal-gov,10.29525933351229,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,40,>50K
183,49,State-gov,12.504019355871135,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,50,>50K
184,44,Self-emp-inc,12.09240550295297,Some-college,10,Never-married,Sales,Not-in-family,White,Male,60,<=50K
185,55,Private,10.623982354614311,Some-college,10,Widowed,Farming-fishing,Not-in-family,White,Male,62,>50K
186,45,Private,12.143675829304463,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,44,>50K
187,48,Private,12.072946884911579,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,40,>50K
188,31,Private,12.482043913403881,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K
189,55,Local-gov,11.504207574350506,HS-grad,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,40,>50K
190,70,Self-emp-not-inc,11.876415135820976,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K
191,70,Self-emp-not-inc,11.731659307795738,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,8,>50K
192,73,Private,12.724890248185709,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K
193,72,Self-emp-not-inc,12.561678518215823,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,28,>50K
194,31,Private,12.700238258802965,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,Female,40,<=50K
195,28,Private,11.771134956463303,10th,6,Widowed,Adm-clerical,Unmarried,White,Female,35,<=50K
196,23,Self-emp-not-inc,12.461873107609152,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,40,>50K
197,49,Local-gov,11.536251290273725,9th,5,Widowed,Handlers-cleaners,Unmarried,White,Male,40,>50K
198,27,Local-gov,11.434228518021047,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,40,>50K
199,90,Private,10.854083088102273,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,40,<=50K
200,68,Private,12.02064627378274,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,30,<=50K
201,65,Private,11.917136453665956,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,59,<=50K
202,65,?,11.871431731014535,HS-grad,9,Widowed,?,Unmarried,White,Female,10,<=50K
203,67,Private,11.681519901144183,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,5,<=50K
204,66,Local-gov,12.799857949235692,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,25,<=50K
205,24,Private,12.845468249443282,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,24,<=50K
206,44,Self-emp-not-inc,12.051901132152565,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,35,<=50K
207,35,Private,11.592605029792303,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,40,<=50K
208,20,Private,11.588051490160627,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,18,<=50K
209,38,Private,11.749387924530437,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,40,<=50K
210,39,Private,11.955069597336884,Some-college,10,Never-married,Other-service,Own-child,Black,Female,40,<=50K
211,32,Private,10.23577246310278,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Female,40,<=50K
212,42,Private,12.399024994680154,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,<=50K
213,63,?,12.363435304282932,HS-grad,9,Divorced,?,Not-in-family,White,Female,40,<=50K
214,42,Self-emp-inc,10.065223675720974,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,60,>50K
215,64,Private,12.107538775214625,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
216,28,Private,12.022642474450425,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,40,<=50K
217,41,Self-emp-inc,11.848804668639298,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,84,<=50K
218,41,Self-emp-not-inc,11.881692009962352,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
219,58,Self-emp-not-inc,12.493909705970696,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,18,<=50K
220,59,State-gov,12.622072072353237,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,<=50K
221,34,Self-emp-not-inc,10.9413054133049,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,12,<=50K
222,45,Private,12.028881903565235,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,45,<=50K
223,29,Private,11.686920788017709,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,<=50K
224,47,Private,12.077818731059038,10th,6,Married-civ-spouse,Sales,Husband,White,Male,52,<=50K
225,40,Private,12.268333574923687,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K
226,47,Self-emp-not-inc,12.160949748708212,5th-6th,3,Married-civ-spouse,Sales,Husband,White,Male,50,<=50K
227,63,?,11.32712586679644,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,45,<=50K
228,41,Self-emp-not-inc,12.04481762284792,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K
229,34,Private,12.104676483649802,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,<=50K
230,66,?,12.085891737273789,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,40,>50K
231,65,Self-emp-not-inc,11.621636361827674,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,>50K
232,70,Private,12.551939896185583,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,>50K
233,75,Self-emp-not-inc,12.644185630903664,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K
234,65,State-gov,12.282612301599787,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K
235,65,Federal-gov,10.064542911536916,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,>50K
236,73,Private,11.901935935006431,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K
237,60,?,11.858088399270011,Bachelors,13,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,25,<=50K
238,68,Self-emp-not-inc,11.669108364154487,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,<=50K
239,74,Self-emp-not-inc,11.687970612793407,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,20,<=50K
240,43,Private,11.874668544187161,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,72,<=50K
241,19,Self-emp-not-inc,12.743691113878892,11th,7,Married-civ-spouse,Craft-repair,Own-child,White,Male,55,<=50K
242,37,Self-emp-not-inc,11.14041145700175,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
243,45,Federal-gov,12.240995675319404,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,40,<=50K
